chickens, birds
mongooses, birds
ptarmigans, birds

JEFFREY STEELE, men
partner, men
father, men

stock, assets

hotels, foreigners
shopping malls, foreigners
restaurants, foreigners
cafes, foreigners

exercise, program

pain, weight

Jews, groups
slave laborers, groups

foie gras, effect
beet, effect
asparagus salad, effect

roast pepper, specialties

extravaganza, excess

center, mixed-use project

